date,open,high,low,close,volume
1/4/2010,23.2186,23.3552,23.2043,23.2828,189600
1/5/2010,23.1793,23.2578,23.04,23.2578,223000
1/6/2010,23.1686,23.3614,23.0793,23.1829,250800
1/7/2010,23.2507,23.3578,23.2189,23.34,115800
1/8/2010,23.34,23.3649,23.1364,23.2114,231200
1/11/2010,23.3043,23.4364,23.19,23.2685,183400
1/12/2010,23.1864,23.3971,23.1864,23.3899,105600
1/13/2010,23.5827,23.5863,23.4364,23.5328,102200
1/14/2010,23.4828,23.6327,23.4328,23.5756,94400
1/15/2010,23.797,23.8291,23.6363,23.7434,251200
1/19/2010,24.1969,24.4575,24.179,24.2826,541600
1/20/2010,24.2326,24.3183,24.079,24.2647,326400
1/21/2010,24.1754,24.2754,23.6934,23.9219,196200
1/22/2010,23.5756,23.7363,23.3685,23.4613,286600
1/25/2010,23.3614,23.6042,23.3292,23.5113,237400
1/26/2010,23.3507,23.7291,23.3114,23.4721,627400
1/27/2010,23.8148,23.9969,23.7648,23.9255,538400
1/28/2010,23.8934,23.8934,23.4828,23.5685,177600
1/29/2010,23.8113,23.9398,23.5506,23.7577,403600
2/1/2010,23.5078,23.5899,23.3007,23.5899,521000
2/2/2010,23.5649,24.0112,23.4757,23.9077,260000
2/3/2010,23.6827,23.7755,23.597,23.7506,227600
2/4/2010,23.6613,23.7005,23.1436,23.2078,185400
2/5/2010,23.0186,23.0972,22.7051,23.0222,410000
2/8/2010,23.3364,23.5185,23.1971,23.2364,455200
2/9/2010,23.1721,23.5435,23.0293,23.3721,187800
2/10/2010,23.2221,23.4613,23.065,23.2471,219400
2/11/2010,23.3757,24.1362,23.2918,23.9576,350800
2/12/2010,24.1397,24.2683,24.054,24.1183,368600
2/16/2010,23.7077,24.0612,23.672,23.9576,403600
2/17/2010,24.1326,24.1719,23.9719,24.1362,259000
2/18/2010,24.129,24.3611,24.0773,24.3325,173200
2/19/2010,24.3504,24.6432,24.2968,24.6396,267400
2/22/2010,24.3111,24.4325,24.2361,24.3647,267400
2/23/2010,24.3611,24.5003,24.2183,24.4575,222000
2/24/2010,24.5539,24.7599,24.4932,24.5289,262800
2/25/2010,23.7041,24.0826,23.6256,24.0362,735400
2/26/2010,24.0683,24.3861,24.0398,24.2433,214000
3/1/2010,24.3432,24.4575,24.229,24.4218,295600
3/2/2010,24.3361,24.4932,24.2683,24.4718,215600
3/3/2010,24.8181,24.8181,24.6968,24.7717,282600
3/4/2010,24.9752,25.0431,24.7074,25.0323,659800
3/5/2010,24.8181,25.2609,24.8003,25.2037,206800
3/8/2010,25.1252,25.2216,24.8717,25.1038,345400
3/9/2010,24.636,24.7753,24.5789,24.6539,409400
3/10/2010,24.5467,24.8858,24.4766,24.8231,533000
3/11/2010,24.8342,24.919,24.6572,24.9005,255800
3/12/2010,24.9853,25.0642,24.8637,25.0111,174800
3/15/2010,24.6056,24.7273,24.4508,24.672,528000
